Delegacia_Orgaos,Delegadotitular_Diretor,TipoTabela
001ª DP  Praça Mauá  Atendendo provisóriamente na sede da 4ªDP,Cláudio Vieira de Campos,Delegacias da Capital
"004ª DP  Praça da República  Praça Cristiano Ottoni, s/nº",Daniel Mayr Pereira da Costa,Delegacias da Capital
"005ª DP  Mem de Sá  Av. Gomes Freire, 320 - Centro",Marcus Henrique de Oliveira Alves,Delegacias da Capital
"006ª DP  Cidade Nova  Rua Prof. Clementino Fraga, 77",Maria Aparecida Salgado Mallet,Delegacias da Capital
"007ª DP  Santa Teresa  Rua Francisco de Castro, 5",Orlando Zaccone D Elia Filho,Delegacias da Capital
"009ª DP  Catete  Rua Pedro Américo, 1",Alexandre Henrique Duarte Braga,Delegacias da Capital
"010ª DP  Botafogo  Rua Bambina, 140",Tarcisio Andreas Jansen,Delegacias da Capital
"011ª DP  Rocinha  Rua Bertha Lutz, 84, São Conrado",Antonio Ricardo L. Nunes,Delegacias da Capital
"012ª DP  Copacabana  Rua Hilário de Gouveia, 102",Gabriel Ferrando de Almeida,Delegacias da Capital
"013ª DP   Ipanema  Av. Nsa. Sra. Copacabana, 1260",Cristiana Onorato Miguel Bento,Delegacias da Capital
"014ª DP  Leblon  Av. Humberto de Campos, 315",Monique Vidal da Silva Muniz,Delegacias da Capital
"015ª DP  Gávea   Rua Major Rubens Vaz, 170",José Alberto Pires Lage,Delegacias da Capital
"016ª DP  Barra da Tijuca   Praça Des.Araujo Jorge, s/nº",Marcus Vinicius Almeida Braga,Delegacias da Capital
"017ª DP  São Cristóvão   Rua São Cristóvão, 309",Mario Luiz da Silva,Delegacias da Capital
"018ª DP  Praça da Bandeira   Rua Barão de Iguatemi, 331",Alcides Alves Pereira,Delegacias da Capital
"019ª DP  Tijuca   Rua General Espírito Santo Cardoso, 208",Gilberto Dias,Delegacias da Capital
"020ª DP  Vila Isabel   Rua Luiz de Matos, nº 20",Barbara Lomba Bueno,Delegacias da Capital
"021ª DP  Bonsucesso   Av. Democráticos, 1322",Wellington Pereira Vieira,Delegacias da Capital
"022ª DP  Penha   Av. Lobo Junior, 750",Reginaldo Guilherme da Silva,Delegacias da Capital
"023ª DP  Méier   Rua Aristides Caire, 80",Luiz Archimedes Gomes de Azeredo,Delegacias da Capital
"024ª DP  Piedade   Rua Goiás, 404",Claudio Nascimento de Souza,Delegacias da Capital
"025ª DP  Engenho Novo  Rua Gal. Belford, 123 - Rocha",Herald Paquete Espinola Filho,Delegacias da Capital
"026ª DP  Todos os Santos  Rua Adriano, nº 304",Jader Machado Amaral,Delegacias da Capital
"027ª DP  Vicente de Carvalho   Rua Ana Frank, s/nº",Luiz Jorge Rodrigues da Silva,Delegacias da Capital
"028ª DP  Campinho   Rua Candido Benício, 727",William de Medeiros Pena Junior,Delegacias da Capital
"029ª DP  Madureira   Estrada do Portela, nº 391",Niandro Ferreira Lima,Delegacias da Capital
"030ª DP  Marechal Hermes   Rua Xavier Curado, nº 1707",José Otilio Bezerra,Delegacias da Capital
"031ª DP - Ricardo de Albuquerque  Estrada Marechal Alencastro, s/n",Rui Barboza de Souza,Delegacias da Capital
"032ª DP  Taquara  Rua Profª Francisca Piragibe, 80",Rodolfo Waldeck Penco Monteiro,Delegacias da Capital
"033ª DP  Realengo   Av. Mal. Fontenelle, s/nº - Jardim Sulacap",Márcia Cristiana Xavier Lopes,Delegacias da Capital
"034ª DP  Bangu   Rua Sabogi, 51",Marcus Antônio Neves Pereira,Delegacias da Capital
"035ª DP  Campo Grande  Av. Maria Teresa, 8",Marcelo Ambrósio,Delegacias da Capital
"036ª DP  Santa Cruz   AV. D. João VI, 67",Rodrigo Sebastian Santoro Nunes,Delegacias da Capital
"037ª DP  Ilha do Governador  Estr. do Galeão, 1365",Geraldo Assed Estefan,Delegacias da Capital
038ª DP  Irajá   R. Tenente Mateus Levino S.Nº,Delmir da Silva Gouvea,Delegacias da Capital
039ª DP  Pavuna   Rua Mercúrio s/nº,Edson Henrique Damasceno,Delegacias da Capital
"040ª DP  Honório Gurgel  Rua Guarama, 15",Paulo Henrique da Silva Pinto,Delegacias da Capital
"041ª DP  Tanque   Rua Henriqueta, 197",Adriana Cardoso Belem,Delegacias da Capital
"042ª DP - Recreio  Av. Teotônio  Vilela, nº31 - Recreio dos Bandeirantes",Marcia Helena Julião,Delegacias da Capital
"043ª DP  Guaratiba   Estrada do Piai, Qd. 89 Lt-7 e 8",Aglausio Batista Novais Filho,Delegacias da Capital
"044ª DP  Inhaúma  Av. Pastor Martin Luther King, s/nº",Roberto Ramos da Silva Santos,Delegacias da Capital
"045ªDP - Complexo do Alemão  Rua Nova sem número, Itararé ( entrada  pela Estação Itararé do Teleférico)",Fabio Asty Dantas,Delegacias da Capital
"1ª  DPA - Capital  Rua da Relação, 42",Paulo Cesar da Silva Guimarães,Delegacias da Capital
"2ª  DPA - Capital   Rua da Relação, 42",Flávio Marcos Amaral de Brito,Delegacias da Capital
"048ª DP  Seropédica   BR 465, antiga Rio/São Paulo, KM 42 - Campo Limpo",Julio da Silva Filho,DGPB - Departamento Geral de Polícia da Baixada
"050ª DP  Itaguaí   Rua Gal. Bocaiúva, 410",Jorge Farid Zahra,DGPB - Departamento Geral de Polícia da Baixada
051ª DP  Paracambi   Estr. RJ 127  KM 11 nº 153,Flavio da Rosa Loureiro,DGPB - Departamento Geral de Polícia da Baixada
"052ª DP  Nova Iguaçu   Av. Governador Amaral Peixoto, nº 950",Leandro Aquino da Silva,DGPB - Departamento Geral de Polícia da Baixada
"053ª DP  Mesquita   Av. Presidente Costa e Silva, nº1280",Matheus de Almeida Romanelli Lopes,DGPB - Departamento Geral de Polícia da Baixada
"054ª DP  Belford Roxo   Estrada Bento José Martins Silvares, 800",Luiz Henrique Ferreira Guimarães,DGPB - Departamento Geral de Polícia da Baixada
"055ª DP  Queimados   Rua Manuel Algusto Muquete, s/n",Marcos Celio Vieira Peralta,DGPB - Departamento Geral de Polícia da Baixada
"056ª DP  Comendador Soares  Rua Tomás da Fonseca, 399",Alexandre Roberto Dellsanto Gusman,DGPB - Departamento Geral de Polícia da Baixada
"057ª DP  Nilópolis   Estrada do Expedicionário, 84  Cabuis - Nilópolis",Marco Aurélio de Paula Ribeiro,DGPB - Departamento Geral de Polícia da Baixada
"058ª DP  Posse  Av. Henrique Duque Estrada Meyer, 149",Adriano Marcelo Firmo França,DGPB - Departamento Geral de Polícia da Baixada
"059ª DP  Duque de Caxias   Rua Ailton Costa, s/nº",Raissa Maria dos Santos Celles,DGPB - Departamento Geral de Polícia da Baixada
"060ª DP  Campos Elíseos   Rua Dr. Manoel Alves, s/nº",José de Moraes Ferreira,DGPB - Departamento Geral de Polícia da Baixada
"061ª DP  Xerém   Rua Maranhão, 5",José Afonso Mota,DGPB - Departamento Geral de Polícia da Baixada
062ª DP  Imbariê   Rua Mal.Hermes,Marcos Santana Gomes,DGPB - Departamento Geral de Polícia da Baixada
"063ª DP  Japeri   Estrada Vereador Francisco da Costa Filho,s/nº",Rodrigo Freitas,DGPB - Departamento Geral de Polícia da Baixada
"064ª DP  S. J.Meriti  Avenida Doutor Arruda Negreiro, s/nº",Roberto de Souza Cardoso,DGPB - Departamento Geral de Polícia da Baixada
"065ª DP  Magé   Praça Getúlio Vargas, 20",Angelo Jose Lages Machado,DGPB - Departamento Geral de Polícia da Baixada
"066ª DP  Piabetá   Av. Santos Dumont, s/nº",Antonio Silvino Teixeira,DGPB - Departamento Geral de Polícia da Baixada
"067ª DP  Guapimirim  Estrada do Bananal, 1919 - Bananal",Veronica Stiepanowez de Oliveira,DGPB - Departamento Geral de Polícia da Baixada
"3ª DPA - Baixada  Rua Ailton Costa, s/nº",Cley Biagio Catão,DGPB - Departamento Geral de Polícia da Baixada
"070ª DP  Tanguá  Rua Firmino Francisco Leite, s/nº",Raul Gustavo Morgado,DGPI - Departamento Geral de Polícia do Interior
"071ª DP  Itaboraí   Av. 22 de maio, 5.963",Oscar de Sa Alves,DGPI - Departamento Geral de Polícia do Interior
"072ª DP  São Gonçalo   Av. 18 do Forte, 578",Flavio Almeida Narcizo,DGPI - Departamento Geral de Polícia do Interior
"073ª DP  Neves   Rua Oliveira Botelho,s/nº",Carla Conceição Guimarães Tavares de Lima,DGPI - Departamento Geral de Polícia do Interior
"074ª DP  Alcântara   Praça Carlos Gianely, 15",Fabio Corsino Freire,DGPI - Departamento Geral de Polícia do Interior
"075ª DP  Rio do Ouro   Estr. Velha de Marica, s/nº",Marcos Antonio da Silva,DGPI - Departamento Geral de Polícia do Interior
076ª DP  Niterói   Ernani do Amaral Peixoto,Glaucio Paz da Silva,DGPI - Departamento Geral de Polícia do Interior
"077ª DP  Icaraí   Rua Lemos Cunha, 475",Robson da Costa Ferreira da Silva,DGPI - Departamento Geral de Polícia do Interior
"078ª DP  Fonseca   Alameda São Boaventura, 773",José William de Medeiros,DGPI - Departamento Geral de Polícia do Interior
"079ª DP  Jurujuba   Av. Quintino Bocaiúva, 115",Claudio Otero Ascoli,DGPI - Departamento Geral de Polícia do Interior
081ª DP  Itaipu   Av. Francisco da Cruz nº6666 - Piratininga,Lauro Cesar Lethier Rangel,DGPI - Departamento Geral de Polícia do Interior
"082ª DP  Maricá   Rua Athayde Parreira, s/nº",Julio Cesar Mulatinho Neto,DGPI - Departamento Geral de Polícia do Interior
"088ª DP  Barra do Piraí   Rua Paulo de Frontin, 132",Carina da Silva Bastos,DGPI - Departamento Geral de Polícia do Interior
"089ª DP  Resende   Rua Guita Ferreira da Rocha, s/nº",Marcelo Nunes Ribeiro,DGPI - Departamento Geral de Polícia do Interior
"090ª DP  Barra Mansa   Av. Domingos Mariano, s/nº",Ronaldo Aparecido Ferreira Brito,DGPI - Departamento Geral de Polícia do Interior
"091ª DP  Valença   Rodovia RJ, 145-lote 28",Luciano Coelho dos Santos,DGPI - Departamento Geral de Polícia do Interior
"092ª DP  Rio das Flores   Rua João Carvalho da Rocha, 71",Luciano Coelho dos Santos,DGPI - Departamento Geral de Polícia do Interior
"093ª DP  Volta Redonda   Rua Lucas Evangelista, 667",Eliezer Lourenço Costa,DGPI - Departamento Geral de Polícia do Interior
094ª DP  Piraí   Rua 15 de Novembro 290,Marco Antonio de A. Alves,DGPI - Departamento Geral de Polícia do Interior
"095ª DP  Vassouras   Av. Mal. Paulo Torres, 477",Renato Soares Vieira,DGPI - Departamento Geral de Polícia do Interior
"096ª DP   Miguel Pereira   Rua Zeni Esteves, s/nº-Pça da Band",Marcello Braga Maia,DGPI - Departamento Geral de Polícia do Interior
"097ª DP  Mendes   Rua Maria Caetana, 54",Luiz Fernando Nader Damasceno,DGPI - Departamento Geral de Polícia do Interior
"098ª DP  Eng. Paulo de Frontin  RJ/127 22125, São Lourenço",Luiz Fernando Nader Damasceno,DGPI - Departamento Geral de Polícia do Interior
"099ª DP  Itatiaia   Av. Dois, Lote A - Jardim Itatiaia",Vicente Maximiliano Rodrigues Barbosa,DGPI - Departamento Geral de Polícia do Interior
"100ª DP  Porto Real   Rua Ariosto Roberto Pederassi, 570",Marcelo dos Santos Haddad,DGPI - Departamento Geral de Polícia do Interior
"101ª DP  Pinheiral   Rua José Breves, 294 - Central",Antonio da Luz Furtado,DGPI - Departamento Geral de Polícia do Interior
"104ª DP  São J. V. Rio Preto   Rua Alfredo Jacintho Franco, s/nº",Paulo César Vieira,DGPI - Departamento Geral de Polícia do Interior
"105ª DP  Petrópolis   Avenida Barão do Rio Branco, s/nº.",Cláudio Batista Teixeira,DGPI - Departamento Geral de Polícia do Interior
"106ª DP  Itaipava   Estrada União Indústria, 8.764",Nei José Ramos Costa,DGPI - Departamento Geral de Polícia do Interior
"107ª DP  Paraíba do Sul   Praça Garcia, 27",Claudia Teresa Nardy Abbud,DGPI - Departamento Geral de Polícia do Interior
