numero,nome,entrancia1,cargo,inicio,entrancia2,anterior,geral,cargo_criminal
2,José Fernandes Freitas Neto,Entrância Especial,6ª Vara Criminal - Capital,20/10/1999 23:00:00,"18A
                        4M 21D",9A 10M 26D,31A 8M 22D,TRUE
36,Claudio Lima Bueno de Camargo,Entrância Especial,1ª Vara Criminal do Foro Regional de São Miguel Paulista,07/07/2005 00:00:00,"12A
                        8M 7D",13A 1M 3D,28A 9M 5D,TRUE
55,Xisto Albarelli Rangel Neto,Entrância Especial,2ª Vara Criminal do Foro Regional de São Miguel Paulista,04/08/2005 00:00:00,"12A
                        7M 10D",12A 3M 6D,27A 6M 18D,TRUE
63,José Zoéga Coelho,Entrância Especial,Vara do Juizado Especial Criminal - Capital,26/10/2005 23:00:00,"12A
                        4M 15D",12A 2M 21D,29A 2M 12D,TRUE
68,Antonio Benedito Morello,Entrancia Final,1ª Vara Criminal da Comarca de São Carlos,11/05/2006 00:00:00,"11A
                        10M 3D",22A 1M 24D,38A 4M 1D,TRUE
70,Antonio Roberto Sylla,Entrancia Final,1ª Vara Criminal da Comarca de Presidente Prudente,11/05/2006 00:00:00,"11A
                        10M 3D",17A 8M 5D,35A 0M 7D,TRUE
75,Junio Cláudio Campos Furtado,Entrancia Final,Vara do Juizado Especial Criminal da Comarca de Ribeirão Preto,11/05/2006 00:00:00,"11A
                        10M 3D",14A 10M 21D,34A 2M 8D,TRUE
80,Luiz Carlos de Carvalho Moreira,Entrancia Final,1ª Vara das Execuções Criminais da Comarca de Presidente Prudente,11/05/2006 00:00:00,"11A
                        10M 3D",16A 3M 2D,32A 4M 10D,TRUE
85,Décio Divanir Mazeto,Entrancia Final,3ª Vara Criminal da Comarca de Marília,11/05/2006 00:00:00,"11A
                        10M 3D",14A 5M 13D,30A 9M 27D,TRUE
100,Elizabeth Lopes de Freitas,Entrancia Final,4ª Vara Criminal da Comarca de Santos,11/05/2006 00:00:00,"11A
                        10M 3D",12A 6M 19D,29A 1M 25D,TRUE
102,Benedito Antonio Okuno,Entrancia Final,1ª Vara Criminal da Comarca de Bauru,11/05/2006 00:00:00,"11A
                        10M 3D",11A 4M 26D,28A 9M 5D,TRUE
104,Mauricio Garibe,Entrancia Final,1ª Vara Criminal da Comarca de Jundiaí,11/05/2006 00:00:00,"11A
                        10M 3D",12A 7M 4D,28A 9M 5D,TRUE
113,Sandra Regina Nostre Marques,Entrancia Final,1ª Vara Criminal da Comarca de São Bernardo do Campo,11/05/2006 00:00:00,"11A
                        10M 3D",12A 10M 17D,28A 4M 13D,TRUE
119,Jayme Walmer de Freitas,Entrancia Final,1ª Vara Criminal da Comarca de Sorocaba,11/05/2006 00:00:00,"11A
                        10M 3D",12A 2M 7D,27A 11M 19D,TRUE
128,Maria da Conceição Pinto Vendeiro,Entrancia Final,3ª Vara Criminal da Comarca de Diadema,11/05/2006 00:00:00,"11A
                        10M 3D",12A 0M 27D,27A 6M 18D,TRUE
138,Luis Augusto Freire Teotonio,Entrancia Final,1ª Vara do Júri e das Execuções Criminais da Comarca de Ribeirão Preto,11/05/2006 00:00:00,"11A
                        10M 3D",11A 6M 21D,27A 6M 18D,TRUE
147,Freddy Lourenço Ruiz Costa,Entrancia Final,1ª Vara Criminal da Comarca de Mogi das Cruzes,11/05/2006 00:00:00,"11A
                        10M 3D",12A 9M 6D,27A 2M 3D,TRUE
155,Heitor Donizete de Oliveira,Entrancia Final,1ª Vara Criminal da Comarca de Diadema,11/05/2006 00:00:00,"11A
                        10M 3D",12A 8M 9D,27A 2M 3D,TRUE
158,Érika Soares de Azevedo Mascarenhas,Entrancia Final,Juíza de Direito Titular II da 6ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",11A 11M 5D,27A 2M 3D,TRUE
159,Marcos Fleury Silveira de Alvarenga,Entrancia Final,Juiz de Direito Titular II da 12ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 0M 27D,27A 2M 3D,TRUE
161,Klaus Marouelli Arroyo,Entrancia Final,Juiz de Direito Titular II da 23ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 6M 7D,27A 2M 3D,TRUE
164,Maria de Fátima dos Santos Gomes Muniz de Oliveira,Entrancia Final,Juíza de Direito Titular II da 29ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 8M 9D,27A 2M 3D,TRUE
165,Marcos Alexandre Coelho Zilli,Entrancia Final,Juiz de Direito Titular II da 15ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 7M 4D,27A 2M 3D,TRUE
166,Luciano Franchi Lemes,Entrancia Final,1ª Vara Criminal da Comarca de Franca,11/05/2006 00:00:00,"11A
                        10M 3D",11A 11M 5D,27A 2M 3D,TRUE
171,Benedito Roberto Garcia Pozzer,Entrancia Final,Juiz de Direito Titular II da 7ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 4M 27D,26A 3M 23D,TRUE
175,Nelson Becker,Entrancia Final,Juiz de Direito Titular II da 5ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 4M 27D,26A 3M 23D,TRUE
177,José Eduardo Marcondes Machado,Entrancia Final,Vara das Execuções Criminais e da Infância e Juventude da Comarca de Itu,11/05/2006 00:00:00,"11A
                        10M 3D",12A 4M 27D,26A 3M 23D,TRUE
182,Hugo Leandro Maranzano,Entrancia Final,Vara do Juizado Especial Criminal e de Violência Doméstica e Familiar Contra a Mulher da Comarca de Sorocaba,11/05/2006 00:00:00,"11A
                        10M 3D",12A 0M 27D,26A 3M 23D,TRUE
189,João Pedro Bressane de Paula Barbosa,Entrancia Final,2ª Vara Criminal da Comarca de Presidente Prudente,11/05/2006 00:00:00,"11A
                        10M 3D",12A 0M 27D,26A 3M 23D,TRUE
193,André Carvalho e Silva de Almeida,Entrancia Final,Juiz de Direito Titular II da 30ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 2M 7D,26A 3M 23D,TRUE
197,Edison Tetsuzo Namba,Entrancia Final,Juiz de Direito Titular II da 31ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",12A 4M 27D,26A 3M 23D,TRUE
201,Ana Lucia Fernandes Queiroga,Entrancia Final,16ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",11A 6M 21D,25A 8M 20D,TRUE
205,Maria dos Anjos Garcia de Alcaraz da Fonseca,Entrancia Final,Juíza de Direito Titular II da 22ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",11A 6M 21D,25A 8M 20D,TRUE
206,Marco Antonio Martin Vargas,Entrancia Final,Juiz de Direito Titular II da 32ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",11A 11M 5D,25A 8M 20D,TRUE
209,Ulysses de Oliveira Gonçalves Junior,Entrancia Final,1ª Vara das Execuções Criminais - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",11A 11M 5D,25A 8M 20D,TRUE
210,José Ricardo Santini Antonietto,Entrancia Final,1ª Vara Criminal do Foro Regional de Penha de França,11/05/2006 00:00:00,"11A
                        10M 3D",11A 11M 5D,25A 8M 20D,TRUE
217,Fátima Vilas Boas Cruz,Entrancia Final,Juíza de Direito Titular II da 17ª Vara Criminal - Capital,11/05/2006 00:00:00,"11A
                        10M 3D",10A 11M 3D,25A 8M 20D,TRUE
221,Emerson Sumariva Júnior,Entrancia Final,3ª Vara Criminal da Comarca de Araçatuba,13/07/2006 00:00:00,"11A
                        8M 1D",8A 7M 2D,26A 3M 23D,TRUE
224,Enio Móz Godoy,Entrancia Final,2ª Vara das Execuções Criminais da Comarca de Bauru,31/08/2006 00:00:00,"11A
                        6M 14D",8A 0M 18D,24A 7M 26D,TRUE
232,Guaracy Sibille Leite,Entrancia Final,1ª Vara Criminal da Comarca de Ribeirão Preto,30/11/2006 00:00:00,"11A
                        3M 14D",10A 7M 5D,28A 4M 13D,TRUE
234,Teresa de Almeida Ribeiro Magalhães,Entrancia Final,18ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 5M 23D,27A 11M 19D,TRUE
238,Aparecida Angélica Correia,Entrancia Final,1ª Vara Criminal do Foro Regional de Pinheiros,30/11/2006 00:00:00,"11A
                        3M 14D",11A 6M 19D,27A 6M 18D,TRUE
242,Leyla Maria da Silva Lacaz,Entrancia Final,14ª Vara Criminal - Capital,30/11/2006 00:00:00,"11A
                        3M 14D",10A 7M 5D,27A 2M 3D,TRUE
243,José Romano Lucarini,Entrancia Final,1ª Vara Criminal da Comarca de Santos,30/11/2006 00:00:00,"11A
                        3M 14D",10A 11M 23D,27A 2M 3D,TRUE
