nome,nome_regimental,origem,camara,telefone
                Márcio Orlando Bártoli,                Márcio Bártoli,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Márcio Orlando Bártoli,                Márcio Bártoli,                Concurso,1ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Carlos Augusto Lorenzetti Bueno,                Carlos Bueno,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Carlos Augusto Lorenzetti Bueno,                Carlos Bueno,                Concurso,10ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                Fábio Poças Leitão,                Poças Leitão,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3277-2577
                Fábio Poças Leitão,                Poças Leitão,                Concurso,15ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3277-2577
                Roberto Galvão de França Carvalho,                França Carvalho,                Concurso,13ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                João Luiz Morenghi,                João Morenghi,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                João Luiz Morenghi,                João Morenghi,                Concurso,12ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                Fábio Monteiro Gouvêa,                Fábio Gouvêa,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Fábio Monteiro Gouvêa,                Fábio Gouvêa,                Concurso,10ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                Carlos Eduardo Andrade Sampaio,                Carlos Eduardo Andrade Sampaio,                Concurso,9ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             :
                Antonio de Almeida Sampaio,                Almeida Sampaio,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Antonio de Almeida Sampaio,                Almeida Sampaio,                Concurso,2ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                José Orestes de Souza Nery,                Souza Nery,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3209-5792
                Luiz Antonio Figueiredo Gonçalves,                Figueiredo Gonçalves,                Concurso,1ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Mário Devienne Ferraz,                Mário Devienne Ferraz,                Concurso,1ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Antonio Carlos Tristão Ribeiro,                Tristão Ribeiro,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Antonio Carlos Tristão Ribeiro,                Tristão Ribeiro,                Concurso,5ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Luis Soares de Mello Neto,                Luis Soares de Mello,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3274-1110
                Luis Soares de Mello Neto,                Luis Soares de Mello,                Concurso,"5ª Câmara Criminal ""D""                                                          ",                    Desembargador                                                                                                             : (11) 3274-1110
                Luis Soares de Mello Neto,                Luis Soares de Mello,                Concurso,4ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Geraldo Francisco Pinheiro Franco,                Pinheiro Franco,                Concurso,5ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 3274-1110
                Ivan Ricardo Garisio Sartori,                Ivan Sartori,                Concurso,4ª Câmara Criminal                                                              ,                    Desembargador                                                                                                             : (11) 2899-5000
                Willian Roberto de Campos,                Willian Campos,                Concurso,15ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3274-1110
                Francisco José Galvão Bruno,                Francisco Bruno,                Concurso,10ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3277-2577
                Renato de Salles Abreu Filho,                Salles Abreu,                Concurso,11ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3277-2577
                Renato de Salles Abreu Filho,                Salles Abreu,                Concurso,Seção Criminal                                                                  ,                    Desembargador                                                                                                             : (11) 3277-2577
                Luiz Augusto de Siqueira,                Augusto de Siqueira,                Concurso,13ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3277-2577
                Ronaldo Sérgio Moreira da Silva,                Moreira da Silva,                Concurso,Turma Especial Criminal                                                         ,                    Desembargador                                                                                                             : (11) 3277-2577
                Ronaldo Sérgio Moreira da Silva,                Moreira da Silva,                Concurso,13ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3277-2577
                Waldir Sebastião de Nuevo Campos Júnior,                Nuevo Campos,                Concurso,10ª Câmara Criminal                                                             ,                    Desembargador                                                                                                             : (11) 3277-2577
