Ordem,Origem,Nome
1,MP,Luiz Antonio de Godoy
2,C,João Carlos Saletti
3,C,Francisco Antonio Casconi
4,C,Renato Sandreschi Sartorelli
5,C,Ademir de Carvalho Benedito
6,C,Antonio José Silveira Paulilo
7,C,Artur Marques da Silva Filho
8,C,Everaldo de Melo Colombi
9,C,Paulo Miguel de Campos Petroni
10,C,Gastão Toledo de Campos Mello Filho
11,C,Tarcísio Ferreira Vianna Cotrim
12,C,Manuel Matheus Fontes
13,C,Eros Piceli
14,C,Itamar Gaino
15,C,José Benedito Franco de Godoi
16,C,Carlos Alberto Lopes
17,C,Fernando Melo Bueno Filho
18,C,Manoel de Queiroz Pereira Calças
19,C,Antonio Carlos Mathias Coltro
20,C,Celso José Pimentel
21,C,Luiz Augusto Gomes Varjão
22,C,Ruy Coppola
23,C,Álvaro Torres Júnior
24,C,Luiz Correia Lima
25,C,Luis Carlos de Barros
26,C,Reinaldo Felipe Ferreira
27,C,Roque Antonio Mesquita de Oliveira
28,C,José Roberto Lino Machado
29,MP,Paulo Celso Ayrosa Monteiro de Andrade
30,ADV,Nestor Duarte
31,C,Kioitsi Chicuta
32,MP,José Marcos Marrone
33,C,José Araldo da Costa Telles
34,C,Antonio Rigolin
35,C,Sebastião Flávio da Silva Filho
36,C,Carlos Alberto Russo
37,C,Carlos Alberto de Sá Duarte
38,ADV,Maria Cristina Zucchi
39,MP,Paulo Roberto Grava Brazil
40,C,Luiz Antonio Cerqueira Leite
41,MP,Ricardo José Negrão Nogueira
42,C,Rui Cascaldi
43,C,Luiz Eurico Costa Ferrari
44,C,José Roberto Coutinho de Arruda
45,C,Vicente Antonio Marcondes D Angelo
46,MP,Marcos Antonio de Oliveira Ramos
47,C,João Camillo de Almeida Prado Costa
48,MP,Alberto de Oliveira Andrade Neto
49,ADV,Jayme Queiroz Lopes Filho
50,C,Enio Santarelli Zuliani
51,C,Berenice Marcondes Cesar
52,C,Jovino de Sylos Neto
53,C,Vito José Guglielmi
54,C,Fernando Antonio Maia da Cunha
55,C,Cesar Lacerda
56,C,Carlos Eduardo Cauduro Padin
57,C,José Henrique Arantes Theodoro
